document_year,reference_check_id,check_id,check_type,validation_scope,source_table_family,source_row_level,source_row_type,target_table_family,target_row_level,target_row_type,compared_key,demand_number,major_head_code,sub_major_head_code,minor_head_code,sub_head_code,detailed_head_code,financial_column_position,financial_column_label,source_amount,target_amount,diff,abs_diff,accuracy_pct,passed,failed,metric_name,metric_value,threshold,na_reason,source_file,target_file
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2020_00_105_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2020_00_105_0_01,03,2020,00,105,0,01,3,Financial_Col_3,426.84,426.84,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2020_00_105_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2020_00_105_0_01,03,2020,00,105,0,01,4,Financial_Col_4,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2020_00_911_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2020_00_911_0_01,03,2020,00,911,0,01,1,Financial_Col_1,-2.99,-2.99,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2020_00_911_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2020_00_911_0_01,03,2020,00,911,0,01,2,Financial_Col_2,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2020_00_911_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2020_00_911_0_01,03,2020,00,911,0,01,3,Financial_Col_3,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2020_00_911_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2020_00_911_0_01,03,2020,00,911,0,01,4,Financial_Col_4,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_01,03,2039,00,001,0,01,1,Financial_Col_1,23345.10,23345.10,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_01,03,2039,00,001,0,01,2,Financial_Col_2,25689.20,25689.20,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_01,03,2039,00,001,0,01,3,Financial_Col_3,26148.95,26148.95,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_01,03,2039,00,001,0,01,4,Financial_Col_4,29228.64,29228.64,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_09,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_09,03,2039,00,001,0,09,1,Financial_Col_1,105.78,105.78,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_09,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_09,03,2039,00,001,0,09,2,Financial_Col_2,50,50,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_09,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_09,03,2039,00,001,0,09,3,Financial_Col_3,50,50,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_001_0_09,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_001_0_09,03,2039,00,001,0,09,4,Financial_Col_4,50,50,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_00,03,2039,00,911,0,00,1,Financial_Col_1,-0.59,-0.59,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_00,03,2039,00,911,0,00,2,Financial_Col_2,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_00,03,2039,00,911,0,00,3,Financial_Col_3,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_00,03,2039,00,911,0,00,4,Financial_Col_4,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_01,03,2039,00,911,0,01,1,Financial_Col_1,-6.85,-6.85,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_01,03,2039,00,911,0,01,2,Financial_Col_2,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_01,03,2039,00,911,0,01,3,Financial_Col_3,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2039_00_911_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2039_00_911_0_01,03,2039,00,911,0,01,4,Financial_Col_4,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2040_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2040_00_911_0_00,03,2040,00,911,0,00,1,Financial_Col_1,-2.56,-2.56,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2040_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2040_00_911_0_00,03,2040,00,911,0,00,2,Financial_Col_2,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2040_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2040_00_911_0_00,03,2040,00,911,0,00,3,Financial_Col_3,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2040_00_911_0_00,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2040_00_911_0_00,03,2040,00,911,0,00,4,Financial_Col_4,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_001_0_01,03,2043,00,001,0,01,1,Financial_Col_1,25116.63,25116.63,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_001_0_01,03,2043,00,001,0,01,2,Financial_Col_2,27612.64,27612.64,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_001_0_01,03,2043,00,001,0,01,3,Financial_Col_3,29524.93,29524.93,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_001_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_001_0_01,03,2043,00,001,0,01,4,Financial_Col_4,32099.50,32099.50,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_001_0_05,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_001_0_05,03,2043,00,001,0,05,1,Financial_Col_1,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_001_0_05,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_001_0_05,03,2043,00,001,0,05,2,Financial_Col_2,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_001_0_05,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_001_0_05,03,2043,00,001,0,05,3,Financial_Col_3,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_001_0_05,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_001_0_05,03,2043,00,001,0,05,4,Financial_Col_4,1,1,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_101_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_101_0_01,03,2043,00,101,0,01,1,Financial_Col_1,52.07,52.07,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_101_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_101_0_01,03,2043,00,101,0,01,2,Financial_Col_2,58,58,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_101_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_101_0_01,03,2043,00,101,0,01,3,Financial_Col_3,71.62,71.62,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_101_0_01,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_101_0_01,03,2043,00,101,0,01,4,Financial_Col_4,73,73,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_101_0_02,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_101_0_02,03,2043,00,101,0,02,1,Financial_Col_1,15556.24,15556.24,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_101_0_02,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_101_0_02,03,2043,00,101,0,02,2,Financial_Col_2,16856,16856,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_101_0_02,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_101_0_02,03,2043,00,101,0,02,3,Financial_Col_3,17455.49,17455.49,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
2023-24,KA.2023-24.expvol_1.in_schema.object_head.detailed.03_2043_00_101_0_02,W06,object_data_to_detailed_head_total_hoa_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Detailed-Head,Total,03_2043_00_101_0_02,03,2043,00,101,0,02,4,Financial_Col_4,19029,19029,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
