reference_check_id,check_id,check_type,validation_scope,source_table_family,source_row_level,source_row_type,target_table_family,target_row_level,target_row_type,compared_key,demand_number,major_head_code,sub_major_head_code,minor_head_code,sub_head_code,detailed_head_code,financial_column_position,financial_column_label,source_amount,target_amount,diff,abs_diff,accuracy_pct,passed,failed,metric_name,metric_value,threshold,na_reason,source_file,target_file
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2039_00_911,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2039_00_911,03,2039,00,911,,,4,Budget_2020_21,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2043_00_001,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2043_00_001,03,2043,00,001,,",",1,Accounts_2018_19,22590.95,22590.95,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2043_00_001,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2043_00_001,03,2043,00,001,,",",2,Budget_2019_20,26326,26305,21,21,99.92,0,1,abs_diff,21,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2043_00_001,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2043_00_001,03,2043,00,001,,",",3,Revised_2019_20,26228,26228,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2043_00_001,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2043_00_001,03,2043,00,001,,",",4,Budget_2020_21,27612.64,27612.64,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2043_00_101,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2043_00_101,03,2043,00,101,,",",1,Accounts_2018_19,14344.21,14344.21,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2043_00_101,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2043_00_101,03,2043,00,101,,",",2,Budget_2019_20,15932,15932,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2043_00_101,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2043_00_101,03,2043,00,101,,",",3,Revised_2019_20,16009,16009,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2043_00_101,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2043_00_101,03,2043,00,101,,",",4,Budget_2020_21,16914,16914,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2043_00_797,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2043_00_797,03,2043,00,797,,",",1,Accounts_2018_19,28.44,28.44,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2043_00_797,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2043_00_797,03,2043,00,797,,",",2,Budget_2019_20,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
KA.2022-23.expvol_1.in_schema.object_head.minor.03_2043_00_797,W01,object_data_to_minor_total_within_object_head,in_schema,object_head,Object-Head,Data,object_head,Minor-Head,Total,03_2043_00_797,03,2043,00,797,,",",3,Revised_2019_20,0,0,0,0,100,1,0,abs_diff,0,0.01,,final_object_head_summary.csv,final_object_head_summary.csv
